Site,Date,DO (mg/L) - Top,DO (mg/L) - Bot,Fecal Coliform (#/100 mL) - Top,Fecal Coliform (#/100 mL) - Bot,Enterococcus (#/100 mL) - Top,Enterococcus (#/100 mL) - Bot,Transparency (Secchi) ft,Weather (Dry = D / Wet = W)
E14,3/7/2017,12.23,11.21,4,NS,1,NS,4,D
E15,3/7/2017,11.4,10.64,36,NS,22,NS,1.5,D
E2,3/7/2017,11.2,11.49,9,NS,9,NS,NS,D
E4,3/7/2017,11.56,10.72,14,NS,14,NS,2.5,D
E6,3/7/2017,12.66,12.68,108,NS,66,NS,3,D
E7,3/7/2017,11.87,11.47,3,NS,2,NS,4,D
E8,3/7/2017,12.12,11.04,2,NS,1,NS,5,D
FB1,3/7/2017,12.2,12.12,24,NS,6,NS,2.5,D
FLC1,3/7/2017,11.4,11.28,208,NS,118,NS,2,D
FLC2,3/7/2017,11.45,11.6,144,NS,58,NS,2,D
H3,3/7/2017,11.82,11.52,44,NS,40,NS,2,D
LN1,3/7/2017,NS,NS,NS,NS,NS,NS,NS,NS
N1,3/7/2017,12.62,11.46,117,NS,60,NS,1.5,D
N3B,3/7/2017,13.95,11.77,68,NS,33,NS,2,D
N4,3/7/2017,12.05,10.73,49,NS,23,NS,1.5,D
N5,3/7/2017,11.66,10.53,15,NS,11,NS,NS,D
NR1,3/7/2017,12.05,11.46,94,NS,64,NS,1.5,D
AC1,2/16/2017,10.7,NS,232,NS,112,NS,NS,D
AC2,2/16/2017,11.52,NS,220,NS,80,NS,NS,D
BR1,2/16/2017,12.64,NS,759,NS,172,NS,NS,D
BR3,2/16/2017,11.21,NS,112,NS,68,NS,NS,D
E12,2/16/2017,13.82,NS,8,NS,8,NS,NS,D
E13,2/16/2017,12.7,NS,21,NS,6,NS,NS,D
HR03,2/16/2017,13.22,NS,203,NS,88,NS,NS,D
HR1,2/16/2017,13.79,NS,270,NS,235,NS,NS,D
HR2,2/16/2017,12.35,NS,68,NS,12,NS,NS,D
WC1,2/16/2017,12.91,NS,62,NS,42,NS,NS,D
WC2,2/16/2017,12.26,NS,12,NS,40,NS,NS,D
WC3,2/16/2017,13.88,NS,54,NS,6,NS,NS,D
CIC3,2/15/2017,12.6,10.91,20,NS,23,NS,4,D
G2,2/15/2017,11.75,11.26,16,NS,5,NS,3,D
GB1,2/15/2017,13,11.66,5,NS,4,NS,3.5,D
K1,2/15/2017,10.65,10.61,30,NS,26,NS,2,D
K2,2/15/2017,11.19,10.96,16,NS,12,NS,3,D
K3,2/15/2017,10.94,10.5,32,NS,17,NS,3,D
K4,2/15/2017,11.43,11.5,40,NS,30,NS,3,D
K5,2/15/2017,12.32,11.75,18,NS,35,NS,3,D
K5A,2/15/2017,12.89,12.17,34,NS,61,NS,2.5,D
K6,2/15/2017,12.69,11.36,4,NS,1,NS,4,D
N6,2/15/2017,11.05,10.62,4,NS,2,NS,2.5,D
N7,2/15/2017,11.84,11.32,12,NS,7,NS,3,D
N8,2/15/2017,13.14,11.88,4,NS,1,NS,3.5,D
NC0,2/15/2017,7.76,7.9,520,260,410,240,2.5,D
NC1,2/15/2017,9.5,9.9,490,480,420,460,3.5,D
NC2,2/15/2017,10.91,10.61,570,450,320,220,4,D
NC3,2/15/2017,12.19,11.75,195,172,177,64,4,D
F1,2/14/2017,11.79,NS,223,NS,32,NS,NS,D
F5,2/14/2017,12.08,NS,188,NS,8,NS,NS,D
HC1,2/14/2017,9.7,10.27,50,NS,58,NS,NS,D
HC2,2/14/2017,10.44,10.92,20,NS,2,NS,NS,D
HC3,2/14/2017,11.1,11.34,2,NS,2,NS,NS,D
J14,2/14/2017,11.81,11.5,28,NS,8,NS,NS,D
J15,2/14/2017,12.07,11.8,20,NS,2,NS,NS,D
J16,2/14/2017,11.21,11.04,18,NS,2,NS,NS,D
CIC2,2/13/2017,9.64,NS,2100,NS,2600,NS,NS,W
GC3,2/13/2017,12.83,12.76,120,120,20,60,NS,W
GC4,2/13/2017,12.82,12.75,110,170,20,60,NS,W
GC5,2/13/2017,12.84,12.73,150,120,30,50,NS,W
GC6,2/13/2017,12.13,11.99,70,200,10,70,NS,W
SP1,2/13/2017,12.8,NS,40,NS,10,NS,NS,W
BB2,2/8/2017,12.46,12.69,200,NS,183,NS,2.5,D
BB4,2/8/2017,13.66,14.28,60,NS,16,NS,3,D
GHC,2/8/2017,13.5,12.4,8,NS,1,NS,3,D
HOB,2/8/2017,12.82,12.91,4,NS,3,NS,3.5,D
J1,2/8/2017,13.51,14.01,27,NS,3,NS,3,D
J10,2/8/2017,12.48,14.91,12,NS,2,NS,3,D
J11,2/8/2017,12.52,12.34,8,NS,2,NS,4.5,D
J12,2/8/2017,15.65,12.06,8,NS,1,NS,3,D
J2,2/8/2017,14.45,13.12,2,NS,2,NS,3,D
J3,2/8/2017,13.7,13.5,7,NS,5,NS,3,D
J5,2/8/2017,13.38,13.11,4,NS,2,NS,3,D
J7,2/8/2017,13.45,12.78,4,NS,10,NS,2.5,D
J8,2/8/2017,13.76,13.4,10,NS,4,NS,3,D
J9A,2/8/2017,13.45,14.19,15,NS,4,NS,3,D
JA1,2/8/2017,11.72,11.53,4,NS,1,NS,3,D
N16,2/8/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,2/8/2017,11.57,10.48,25,NS,4,NS,3,D
N9A,2/8/2017,10.51,10.69,1,NS,1,NS,4.5,D
PB2,2/8/2017,14.68,14.36,2,NS,3,NS,3,D
PB3,2/8/2017,14.45,15.19,4,NS,4,NS,3,D
SP2,2/8/2017,13.53,14.11,7,NS,9,NS,2.5,D
TB1,2/8/2017,10.11,10.71,470,NS,124,NS,2,D
TB2,2/8/2017,12.31,12.28,120,NS,51,NS,2,D
BR5,2/6/2017,11.43,12.09,28,NS,8,NS,3,D
E10,2/6/2017,12.21,11.64,27,NS,10,NS,3,D
E11,2/6/2017,12.92,13.28,5,NS,12,NS,2,D
E14,2/6/2017,11.13,11.45,9,NS,6,NS,2.5,D
E15,2/6/2017,12.3,12.5,48,NS,1,NS,2,D
E2,2/6/2017,10.6,10.71,22,NS,16,NS,2,D
E4,2/6/2017,10.94,10.8,23,NS,12,NS,2,D
E6,2/6/2017,12.22,11.6,14,NS,1,NS,2,D
E7,2/6/2017,12.32,11.67,14,NS,2,NS,2.5,D
E8,2/6/2017,12.8,11.69,2,NS,1,NS,2.5,D
FB1,2/6/2017,12.32,11.78,28,NS,6,NS,2,D
FLC1,2/6/2017,10.57,11.36,380,NS,64,NS,1.5,D
FLC2,2/6/2017,10.66,11.14,223,NS,166,NS,1,D
H3,2/6/2017,11.2,11.5,90,NS,32,NS,2,D
LN1,2/6/2017,NS,NS,NS,NS,NS,NS,NS,NS
N1,2/6/2017,12.67,11.45,48,NS,25,NS,2,D
N3B,2/6/2017,11.8,11.1,21,NS,8,NS,2.5,D
N4,2/6/2017,11.9,10.66,18,NS,2,NS,2,D
N5,2/6/2017,10.76,10.37,9,NS,5,NS,NS,D
NR1,2/6/2017,12.35,10.87,11,NS,4,NS,2,D
CIC3,1/19/2017,10.35,10.38,30,NS,46,NS,4.5,W
G2,1/19/2017,10.75,10.44,56,NS,36,NS,3.5,W
GB1,1/19/2017,10.2,10.29,24,NS,22,NS,4,W
K1,1/19/2017,10.47,9.73,36,NS,14,NS,3.5,W
K2,1/19/2017,9.81,10.19,20,NS,30,NS,4,W
K3,1/19/2017,9.43,9.6,68,NS,102,NS,4,W
K4,1/19/2017,10.72,10.9,12,NS,22,NS,4,W
K5,1/19/2017,13.78,14.21,12,NS,18,NS,2.5,W
K5A,1/19/2017,14.73,14.51,8,NS,12,NS,2.5,W
K6,1/19/2017,11.01,10.17,24,NS,6,NS,4.5,W
N6,1/19/2017,10.3,10.04,12,NS,18,NS,2,W
N7,1/19/2017,10.75,9.72,50,NS,28,NS,2.5,W
N8,1/19/2017,10.85,9.75,12,NS,32,NS,3,W
NC0,1/19/2017,5.59,5.75,3900,4100,5800,2000,2,W
NC1,1/19/2017,8.28,8.48,937,730,1137,1080,1,W
NC2,1/19/2017,8.93,9.15,1613,928,2600,1180,2,W
NC3,1/19/2017,9.55,9.75,320,300,470,340,3.5,W
BR5,1/18/2017,12.19,12.13,110,NS,10,NS,3,W
E10,1/18/2017,11.96,11.46,4,NS,2,NS,3.5,W
E11,1/18/2017,12.07,NS,6,NS,2,NS,3,W
E14,1/18/2017,11.28,11.21,24,NS,2,NS,3,W
E15,1/18/2017,10.54,10.33,2200,NS,140,NS,2.5,W
E2,1/18/2017,10.67,10.6,97,NS,26,NS,2.5,W
E4,1/18/2017,10.98,10.82,16,NS,2,NS,2.5,W
E6,1/18/2017,11.96,11.36,56,NS,20,NS,3,W
E7,1/18/2017,11.42,11.42,18,NS,10,NS,3,W
E8,1/18/2017,11.4,11.78,12,NS,8,NS,3.5,W
FB1,1/18/2017,11.06,11.01,430,NS,54,NS,3,W
FLC1,1/18/2017,9.79,9.85,3700,NS,370,NS,3,W
FLC2,1/18/2017,9.86,10.04,1153,NS,100,NS,3,W
H3,1/18/2017,11.43,11.14,68,NS,20,NS,2,W
LN1,1/18/2017,11.83,NS,88,NS,6,NS,3,W
N1,1/18/2017,13,10.74,100,NS,12,NS,1,W
N3B,1/18/2017,11.85,10.88,76,NS,16,NS,1,W
N4,1/18/2017,12.15,10.5,132,NS,10,NS,1.5,W
N5,1/18/2017,11.87,10,104,NS,40,NS,1.5,W
NR1,1/18/2017,11.57,10.36,72,NS,14,NS,1.5,W
F1,1/17/2017,12.6,NS,214,NS,97,NS,NS,D
F5,1/17/2017,13.01,NS,62,NS,26,NS,NS,D
HC1,1/17/2017,9.95,NS,96,NS,89,NS,NS,D
HC2,1/17/2017,11.2,NS,20,NS,2,NS,NS,D
HC3,1/17/2017,12.52,NS,40,NS,14,NS,NS,D
J14,1/17/2017,14.65,NS,6,NS,18,NS,NS,D
J15,1/17/2017,13.03,13.14,8,NS,4,NS,NS,D
J16,1/17/2017,12.76,12.5,6,NS,6,NS,NS,D
BB2,1/11/2017,6.62,NS,1540,NS,59000,NS,0.5,W
BB4,1/11/2017,9.63,9.08,540,NS,560,NS,1,W
GHC,1/11/2017,10.55,11.06,4,NS,2,NS,4.5,W
HOB,1/11/2017,9.64,9.79,28,NS,30,NS,2.5,W
J1,1/11/2017,11.21,11.26,16,NS,12,NS,5,W
J10,1/11/2017,10.91,10.85,8,NS,4,NS,4,W
J11,1/11/2017,10.21,10.03,240,NS,184,NS,2.5,W
J12,1/11/2017,10.16,9.96,6,NS,60,NS,3.5,W
J2,1/11/2017,11.44,11.74,28,NS,6,NS,4.5,W
J3,1/11/2017,10.93,10.96,12,NS,8,NS,4,W
J5,1/11/2017,10.8,11.04,10,NS,4,NS,4,W
J7,1/11/2017,10.15,10.05,20,NS,26,NS,1.5,W
J8,1/11/2017,10.46,10.12,223,NS,132,NS,3,W
J9A,1/11/2017,10.91,10.96,48,NS,20,NS,3.5,W
JA1,1/11/2017,9.82,9.65,12,NS,2,NS,3,W
N16,1/11/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,1/11/2017,10,9.83,8,NS,2,NS,3.5,W
N9A,1/11/2017,10.07,9.6,6,NS,2,NS,5,W
PB2,1/11/2017,NS,NS,NS,NS,NS,NS,NS,NS
PB3,1/11/2017,NS,NS,NS,NS,NS,NS,NS,NS
SP2,1/11/2017,10.58,NS,36,NS,40,NS,3.5,W
TB1,1/11/2017,7.91,8.2,725,NS,840,NS,1,W
TB2,1/11/2017,9.11,9.33,200,NS,188,NS,2,W
AC1,1/5/2017,10.88,NS,730,NS,20,NS,NS,W
AC2,1/5/2017,11.42,NS,570,NS,40,NS,NS,W
BR1,1/5/2017,11.95,NS,8182,NS,480,NS,NS,W
BR3,1/5/2017,9.08,NS,3200,NS,20,NS,NS,W
E12,1/5/2017,NS,NS,1892,NS,10,NS,NS,W
E13,1/5/2017,NS,NS,144,NS,10,NS,NS,W
HR03,1/5/2017,NS,NS,8000,NS,10,NS,NS,W
HR1,1/5/2017,NS,NS,3100,NS,10,NS,NS,W
HR2,1/5/2017,NS,NS,3100,NS,30,NS,NS,W
WC1,1/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC2,1/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC3,1/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
CIC2,1/4/2017,8.58,NS,5700,NS,3000,NS,NS,W
GC3,1/4/2017,11.59,11.58,140,150,70,90,NS,W
GC4,1/4/2017,11.45,11.44,90,90,20,60,NS,W
GC5,1/4/2017,11.41,11.4,110,60,50,20,NS,W
GC6,1/4/2017,11,10.98,170,180,50,50,NS,W
SP1,1/4/2017,8.44,NS,50,NS,10,NS,NS,W
